[armor]
!0@	Kite Shield (Immortal)
!9@	Bone Helm (Immortal)
!q@	Light Plate (Immortal)
@01	Quilted Armor (Sacred)
@02	Leather Armor (Sacred)
@03	Hard Leather Armor (Sacred)
@04	Studded Leather (Sacred)
@05	Ring Mail (Sacred)
@06	Scale Mail (Sacred)
@07	Chain Mail (Sacred)
@08	Breast Plate (Sacred)
@09	Splint Mail (Sacred)
@10	Plate Mail (Sacred)
@11	Field Plate (Sacred)
@12	Light Plate (Sacred)
@13	Gothic Plate (Sacred)
@14	Full Plate Mail (Sacred)
@15	Ancient Armor (Sacred)
@16	Cap (Sacred)
@17	Skull Cap (Sacred)
@18	Helm (Sacred)
@19	Full Helm (Sacred)
@20	Great Helm (Sacred)
@21	Crown (Sacred)
@22	Buckler (Sacred)
@23	Small Shield (Sacred)
@24	Large Shield (Sacred)
@25	Kite Shield (Sacred)
@26	Tower Shield (Sacred)
@27	Gothic Shield (Sacred)
@28	Sash (Sacred)
@29	Light Belt (Sacred)
@30	Belt (Sacred)
@31	Heavy Belt (Sacred)
@32	Plated Belt (Sacred)
@33	Leather Gloves (Sacred)
@34	Heavy Gloves (Sacred)
@35	Chain Gloves (Sacred)
@36	Light Gauntlets (Sacred)
@37	Gauntlets (Sacred)
@38	Boots (Sacred)
@39	Heavy Boots (Sacred)
@40	Chain Boots (Sacred)
@41	Light Plated Boots (Sacred)
@42	Greaves (Sacred)
@43	Bone Shield (Sacred)
@44	Spiked Shield (Sacred)
@45	Mask (Sacred)
@46	Bone Helm (Sacred)
@47	Wolf Head (Sacred)
@48	Hawk Helm (Sacred)
@49	Antlers (Sacred)
@50	Falcon Mask (Sacred)
@51	Spirit Mask (Sacred)
@52	Jawbone Cap (Sacred)
@53	Fanged Helm (Sacred)
@54	Horned Helm (Sacred)
@55	Assault Helmet (Sacred)
@56	Avenger Guard (Sacred)
@57	Targe (Sacred)
@58	Rondache (Sacred)
@59	Heraldic Shield (Sacred)
@60	Aerin Shield (Sacred)
@61	Crown Shield (Sacred)
@62	Preserved Head (Sacred)
@63	Zombie Head (Sacred)
@64	Unraveller Head (Sacred)
@65	Gargoyle Head (Sacred)
@66	Demon Head (Sacred)
@67	Circlet (Sacred)
@68	Coronet (Sacred)
@69	Tiara (Sacred)
@70	Diadem (Sacred)
01!	Athulua's Hand (1)
02!	Athulua's Hand (2)
03!	Athulua's Hand (3)
04!	Athulua's Hand (4)
05!	Athulua's Hand (5)
06!	Athulua's Hand (6)
07!	Athulua's Hand (Sacred)
08!	Phoenix Shield (1)
09!	Phoenix Shield (2)
1@G	Gambeson (1)
1@H	Lamellar Armor (3)
1@I	Kazarghand (5)
1@J	Banded Plate (Sacred)
1@K	Morion (2)
1@L	Cervelliere (4)
1@M	Einherjar Helm (6)
1@N	Parma (1)
1@O	Aspis (3)
1@P	Totem Shield (5)
1@Q	Bladed Shield (Sacred)
10!	Phoenix Shield (3)
11!	Phoenix Shield (4)
12!	Phoenix Shield (5)
13!	Phoenix Shield (6)
14!	Phoenix Shield (Sacred)
15!	Setzschild (1)
16!	Setzschild (2)
17!	Setzschild (3)
18!	Setzschild (4)
19!	Setzschild (5)
2@G	Gambeson (2)
2@H	Lamellar Armor (4)
2@I	Kazarghand (6)
2@J	Ceremonial Armor (1)
2@K	Morion (3)
2@L	Cervelliere (5)
2@M	Einherjar Helm (Sacred)
2@N	Parma (2)
2@O	Aspis (4)
2@P	Totem Shield (6)
20!	Setzschild (6)
21!	Setzschild (Sacred)
22!	Bull Shield (1)
23!	Bull Shield (2)
24!	Bull Shield (3)
25!	Bull Shield (4)
26!	Bull Shield (5)
27!	Bull Shield (6)
28!	Bull Shield (Sacred)
29!	Bronze Shield (1)
3@G	Gambeson (3)
3@H	Lamellar Armor (5)
3@I	Kazarghand (Sacred)
3@J	Ceremonial Armor (2)
3@K	Morion (4)
3@L	Cervelliere (6)
3@M	Spangenhelm (1)
3@N	Parma (3)
3@O	Aspis (5)
3@P	Totem Shield (Sacred)
30!	Bronze Shield (2)
31!	Bronze Shield (3)
32!	Bronze Shield (4)
33!	Bronze Shield (5)
34!	Bronze Shield (6)
35!	Bronze Shield (Sacred)
36!	Gilded Shield (1)
37!	Gilded Shield (2)
38!	Gilded Shield (3)
39!	Gilded Shield (4)
4@G	Gambeson (4)
4@H	Lamellar Armor (6)
4@I	Banded Plate (1)
4@J	Ceremonial Armor (3)
4@K	Morion (5)
4@L	Cervelliere (Sacred)
4@M	Spangenhelm (2)
4@N	Parma (4)
4@O	Aspis (6)
4@P	Bladed Shield (1)
40!	Gilded Shield (5)
41!	Gilded Shield (6)
42!	Gilded Shield (Sacred)
43!	Hundsgugel (1)
44!	Hundsgugel (2)
45!	Hundsgugel (3)
46!	Hundsgugel (4)
47!	Hundsgugel (5)
48!	Hundsgugel (6)
49!	Hundsgugel (Sacred)
5@G	Gambeson (5)
5@H	Lamellar Armor (Sacred)
5@I	Banded Plate (2)
5@J	Ceremonial Armor (4)
5@K	Morion (6)
5@L	Einherjar Helm (1)
5@M	Spangenhelm (3)
5@N	Parma (5)
5@O	Aspis (Sacred)
5@P	Bladed Shield (2)
50!	Blackguard Helm (1)
51!	Blackguard Helm (2)
52!	Blackguard Helm (3)
53!	Blackguard Helm (4)
54!	Blackguard Helm (5)
55!	Blackguard Helm (6)
56!	Blackguard Helm (Sacred)
6@G	Gambeson (6)
6@H	Kazarghand (1)
6@I	Banded Plate (3)
6@J	Ceremonial Armor (5)
6@K	Morion (Sacred)
6@L	Einherjar Helm (2)
6@M	Spangenhelm (4)
6@N	Parma (6)
6@O	Totem Shield (1)
6@P	Bladed Shield (3)
600	Quilted Armor (1)
601	Leather Armor (1)
602	Hard Leather Armor (1)
603	Studded Leather (1)
604	Ring Mail (1)
605	Scale Mail (1)
606	Chain Mail (1)
607	Breast Plate (1)
608	Splint Mail (1)
609	Plate Mail (1)
610	Field Plate (1)
611	Light Plate (1)
612	Gothic Plate (1)
613	Full Plate Mail (1)
614	Ancient Armor (1)
615	Cap (1)
616	Skull Cap (1)
617	Helm (1)
618	Full Helm (1)
619	Great Helm (1)
620	Crown (1)
621	Buckler (1)
622	Small Shield (1)
623	Large Shield (1)
624	Kite Shield (1)
625	Tower Shield (1)
626	Gothic Shield (1)
627	Sash (1)
628	Light Belt (1)
629	Belt (1)
630	Heavy Belt (1)
631	Plated Belt (1)
632	Leather Gloves (1)
633	Heavy Gloves (1)
634	Chain Gloves (1)
635	Light Gauntlets (1)
636	Gauntlets (1)
637	Boots (1)
638	Heavy Boots (1)
639	Chain Boots (1)
640	Light Plated Boots (1)
641	Greaves (1)
642	Bone Shield (1)
643	Spiked Shield (1)
644	Mask (1)
645	Bone Helm (1)
646	Quilted Armor (2)
647	Leather Armor (2)
648	Hard Leather Armor (2)
649	Studded Leather (2)
650	Ring Mail (2)
651	Scale Mail (2)
652	Chain Mail (2)
653	Breast Plate (2)
654	Splint Mail (2)
655	Plate Mail (2)
656	Field Plate (2)
657	Light Plate (2)
658	Gothic Plate (2)
659	Full Plate Mail (2)
660	Ancient Armor (2)
661	Cap (2)
662	Skull Cap (2)
663	Helm (2)
664	Full Helm (2)
665	Great Helm (2)
666	Crown (2)
667	Buckler (2)
668	Small Shield (2)
669	Large Shield (2)
670	Kite Shield (2)
671	Tower Shield (2)
672	Gothic Shield (2)
673	Sash (2)
674	Light Belt (2)
675	Belt (2)
676	Heavy Belt (2)
677	Plated Belt (2)
678	Leather Gloves (2)
679	Heavy Gloves (2)
680	Chain Gloves (2)
681	Light Gauntlets (2)
682	Gauntlets (2)
683	Boots (2)
684	Heavy Boots (2)
685	Chain Boots (2)
686	Light Plated Boots (2)
687	Greaves (2)
688	Bone Shield (2)
689	Spiked Shield (2)
690	Mask (2)
691	Bone Helm (2)
692	Quilted Armor (3)
693	Leather Armor (3)
694	Hard Leather Armor (3)
695	Studded Leather (3)
696	Ring Mail (3)
697	Scale Mail (3)
698	Chain Mail (3)
699	Breast Plate (3)
7@G	Gambeson (Sacred)
7@H	Kazarghand (2)
7@I	Banded Plate (4)
7@J	Ceremonial Armor (6)
7@K	Cervelliere (1)
7@L	Einherjar Helm (3)
7@M	Spangenhelm (5)
7@N	Parma (Sacred)
7@O	Totem Shield (2)
7@P	Bladed Shield (4)
700	Splint Mail (3)
701	Plate Mail (3)
702	Field Plate (3)
703	Light Plate (3)
