Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
strength	0	1		11			1	0	12			1	1		125	55	1024		7	32	12	100																	67	1	1	ModStr1a	ModStr1a		1	1	1	Moditem2allattrib	Moditem2allattrib		6	0
energy	1			11			1	0	12			1	1		100	55	1024		7	32	12	100			8			maxmana											61	1	1	ModStr1d	ModStr1d		1	1	1	Moditem2allattrib	Moditem2allattrib			0
dexterity	2	1		11			1	0	12			1	1		125	55	1024		7	32	12	100																	65	1	1	ModStr1b	ModStr1b		1	1	1	Moditem2allattrib	Moditem2allattrib			0
vitality	3			11			1	0	12			1	1		100	55	1024		7	32	12	100			9			maxhp	maxstamina										63	1	1	ModStr1c	ModStr1c		1	1	1	Moditem2allattrib	Moditem2allattrib			0
statpts	4			9			1	0	11								1024																																			0
newskills	5			9			1	0	8								1024																																			0
hitpoints	6			32			1	0	21								1024	8													1	maxhp																				0
maxhp	7			32			1	0	21		1	1	1		56	20	1024	8	8	32	11	150																	59	1	1	ModStr1u	ModStr1u									0
mana	8			32			1	0	21								1024	8						1							1	maxmana																				0
maxmana	9			32			1	0	21		1	1	0		81	20	1024	8	8	32	11	150																	55	1	1	ModStr1e	ModStr1e									0
stamina	10			32			1	0	21								1024	8						1							1	maxstamina																				0
maxstamina	11			32			1	0	21		1	1	0		75	20	1024	8	8	32	10	150																	51	1	1	ModStr5d	ModStr5d									0
level	12			9			1	0	7								1024																																			0
experience	13			32			1	0	32								1024																																			0
gold	14			32			1	0	25								1024																																			0
goldbank	15			32			1	0	25								1024																																			0
item_armor_percent	16		1	11											47	20	1024		9	0	9	161			1			armorclass											74	4	1	Modstr2v	Modstr2v									0
item_maxdamage_percent	17		1	11											15	10	1024		9	0	9	161			1			maxdamage	secondary_maxdamage	item_throw_maxdamage				1					129	3	0	ModStr2j	ModStr2j									0
item_mindamage_percent	18		1	11											15	10	1024		9	0	9	161			1			mindamage	secondary_mindamage	item_throw_mindamage				1					130	3	0	ModStr2k	ModStr2k									0
tohit	19		1	16											15	10	1024		10		10													1					115	1	1	ModStr1h	ModStr1h									0
toblock	20		1	10											89	204	1024		6	0	9	257																	134	2	1	ModStr3g	ModitemNegBlock									0
mindamage	21		1	16											122	200	1024		6	0	11	0												1					127	1	1	ModStr1g	ModStr1g									0
maxdamage	22		1	16											94	100	1024		7	0	11	0												1					126	1	1	ModStr1f	ModStr1f									0
secondary_mindamage	23		1	16											76	128	1024		6	0	11	0												1					124	1	1	ModStr1g	ModStr1g									0
secondary_maxdamage	24		1	16											88	128	1024		7	0	11	0												1					123	1	1	ModStr1f	ModStr1f									0
damagepercent	25		1	12											45	40	1024		8	0	9	50												1					80	4	2	ModTotPhysDmg	ModNegPhysDmgZ									0
manarecovery	26																1024		8	0	10	0																														0
manarecoverybonus	27		1	16													1024		8	0	8	0																	52	4	2	ModStr4g	ModStr4g									0
staminarecoverybonus	28		1	16													1024		8	0	10	0																	48	2	2	ModStr3v	ModStr3v									0
lastexp	29			32													1024																																			0
nextexp	30			32													1024																																			0
armorclass	31		1	16											17	10	1024		10	10	15	500																	71	1	1	ModStr1i	ModStr1i									0
armorclass_vs_missile	32		1	16											11	5	1024		8	0	11	250																	69	1	1	ModStr6a	ModStr6a									0
armorclass_vs_hth	33		1	16											13	7	1024		8	0	10	0																	70	1	1	ModStr6b	ModStr6b									0
normal_damage_reduction	34		1	10											188	200	1024		6	30	10	110																	22	3	2	ModStr2u	ModStr2u									0
magic_damage_reduction	35		1	10											397	340	1024		6	30	10	30																	21	3	2	ModStr2t	ModStr2t									0
damageresist	36		1	9											152	68	1024		8	0	10	100																	22	2	2	ModStr2u	ModitemCursedDR									0
magicresist	37		1	9											164	68	1024		8	0	9	100																	41	4	2	ModStr1m	ModStr1m									0
